emp_no,birth_date,first_name,last_name,gender,hire_date
434375,1960-12-06,Mary,Uhrig,M,1985-09-06
434910,1958-04-20,Mary,Baer,M,1989-03-04
439763,1961-08-28,Mary,Casley,M,1991-04-18
440659,1959-12-17,Mary,Lindqvist,M,1987-09-05
443029,1952-08-29,Mary,Bahk,F,1990-02-12
443267,1956-03-09,Mary,Feinberg,F,1986-04-05
443268,1957-08-30,Mary,Schrooten,M,1994-08-17
445231,1963-12-11,Mary,Litecky,M,1988-06-05
446316,1961-09-22,Mary,Potthoff,M,1988-08-22
446393,1957-10-03,Mary,Kornyak,F,1994-05-17
451899,1964-07-21,Mary,Kaiser,F,1987-03-15
454632,1958-08-20,Mary,Mullainathan,M,1985-02-25
454758,1961-03-26,Mary,Jansen,M,1991-02-07
457469,1959-07-15,Mary,Weedman,M,1996-11-21
459548,1952-05-01,Mary,Meszaros,F,1986-12-26
459666,1959-03-22,Mary,Claffy,F,1987-02-12
462039,1956-03-30,Mary,Yavatkar,F,1985-10-19
462906,1953-11-17,Mary,Cronin,F,1995-10-08
470696,1958-10-11,Mary,Harllee,M,1988-07-27
471069,1959-06-11,Mary,Grospietsch,F,1986-05-24
471495,1960-09-24,Mary,Dymetman,M,1988-06-09
472588,1953-02-02,Mary,Rosti,M,1988-04-14
474137,1957-06-16,Mary,Kampfer,M,1992-10-21
474319,1962-01-20,Mary,Mitsuhashi,M,1992-09-10
474540,1962-02-27,Mary,Conti,M,1990-07-24
476417,1960-08-06,Mary,Staudhammer,M,1992-10-17
477560,1952-12-29,Mary,Keohane,M,1990-06-11
478397,1959-09-19,Mary,Anger,M,1988-11-16
478996,1954-07-15,Mary,Conti,F,1988-01-20
480591,1958-02-24,Mary,Kumaresan,M,1990-06-11
480831,1956-01-27,Mary,Wynblatt,M,1989-08-18
480956,1955-03-30,Mary,Delaune,F,1989-01-01
481451,1960-07-03,Mary,Mahmud,M,1994-09-22
482286,1958-02-21,Mary,Thambidurai,M,1986-01-28
486361,1957-10-15,Mary,Oberman,M,1988-09-06
486829,1953-10-11,Mary,Facello,M,1998-02-13
489788,1964-05-16,Mary,Birrer,M,1991-05-06
491899,1957-01-16,Mary,Ananiadou,F,1987-06-20
492579,1956-05-15,Mary,Nyanchama,M,1993-02-03
494905,1962-05-09,Mary,Kinley,F,1985-06-24
495497,1961-01-24,Mary,Marsiglia,M,1988-10-01
495777,1958-06-25,Mary,Baba,F,1994-07-18
495822,1957-05-29,Mary,Swift,M,1994-05-17
496174,1954-08-10,Mary,Staudhammer,M,1988-11-30
496260,1953-01-05,Mary,Showalter,M,1990-05-07
497129,1957-10-19,Mary,Penn,M,1987-02-07
497717,1954-10-05,Mary,Tiemann,M,1991-03-21
